Ngay;Ttb;GHI;A;;;;
2022-03-05;28;3,240;152115;;;;
2022-03-06;29;3,323;153115;;;;
2022-03-07;27;0,828;42993;;;;
2022-03-08;27;4,756;275877;;;;
2022-03-09;27;4,384;248436;;;;
2022-03-10;27;5,262;251853;;;;
2022-03-11;28;5,050;237122;;;;
2022-03-12;28;5,025;260762;;;;
2022-03-13;29;4,752;227444;;;;
2022-03-14;29;4,574;210731;;;;
2022-03-15;28;2,783;124861;;;;
2022-03-16;27;1,219;58346;;;;
2022-03-17;31;3,731;175188;;;;
2022-03-18;28;1,306;60195;;;;
2022-03-19;31;4,077;211578;;;;
2022-03-20;33;3,562;206585;;;;
2022-03-21;35;4,029;192858;;;;
2022-03-22;33;3,693;214221;;;;
2022-03-23;34;3,192;180885;;;;
2022-03-24;27;2,980;142653;;;;
2022-03-25;35;5,745;264719;;;;
2022-03-26;35;4,328;245232;;;;
2022-03-27;36;4,559;210051;;;;
2022-03-28;23;0,980;50877;;;;
2022-03-29;23;1,203;69755;;;;
2022-03-30;26;2,706;127064;;;;
2022-03-31;26;0,381;22094;;;;
2022-04-01;24;0,486;23268;;;;
2022-04-02;19;0,987;51239;;;;
2022-04-03;18;0,741;40166;;;;
2022-04-04;20;0,910;51547;;;;
2022-04-05;22;1,078;50631;;;;
2022-04-06;26;4,014;184924;;;;
2022-04-07;27;4,942;256469;;;;
2022-04-08;28;4,574;265317;;;;
2022-04-09;29;4,945;280225;;;;
2022-04-10;28;5,000;239313;;;;
2022-04-11;30;4,636;217668;;;;
2022-04-12;30;4,452;231058;;;;
2022-04-13;32;3,756;179771;;;;
2022-04-14;31;5,271;242875;;;;
2022-04-15;33;5,705;255953;;;;
2022-04-16;33;5,188;248301;;;;
2022-04-17;31;4,836;227061;;;;
2022-04-18;29;4,621;212895;;;;
2022-04-19;22;1,142;59252;;;;
2022-04-20;22;1,354;78525;;;;
2022-04-21;28;3,190;152692;;;;
2022-04-22;31;3,962;229773;;;;
2022-04-23;34;4,998;283194;;;;
2022-04-24;35;5,261;251794;;;;
2022-04-25;37;5,642;259951;;;;
2022-04-26;36;5,979;338821;;;;
2022-04-27;36;5,470;252036;;;;
2022-04-28;35;5,726;297130;;;;
2022-04-29;33;4,764;276289;;;;
2022-04-30;29;2,715;127480;;;;
2022-05-01;31;2,568;122906;;;;
2022-05-02;21;1,203;62417;;;;
2022-05-03;21;0,986;53401;;;;
2022-05-04;25;1,544;87483;;;;
2022-05-05;28;3,944;185162;;;;
2022-05-06;29;3,949;181933;;;;
2022-05-07;30;4,049;210148;;;;
2022-05-08;32;3,524;204415;;;;
2022-05-09;32;4,223;239310;;;;
2022-05-10;34;4,624;221345;;;;
2022-05-11;35;5,550;260590;;;;
2022-05-12;36;4,826;250460;;;;
2022-05-13;37;4,554;217983;;;;
2022-05-14;36;5,216;240304;;;;
2022-05-15;35;4,816;216046;;;;
2022-05-16;27;1,662;79560;;;;
2022-05-17;28;1,375;64555;;;;
2022-05-18;28;3,193;147129;;;;
2022-05-19;29;2,928;151937;;;;
2022-05-20;31;4,290;248825;;;;
2022-05-21;32;4,701;224986;;;;
2022-05-22;34;3,008;174478;;;;
2022-05-23;34;5,014;284116;;;;
2022-05-24;33;3,316;158720;;;;
2022-05-25;35;5,374;247607;;;;
2022-05-26;35;4,397;249188;;;;
2022-05-27;36;4,559;210032;;;;
2022-05-28;35;5,258;272884;;;;
2022-05-29;35;4,700;272582;;;;
2022-05-30;35;5,787;271694;;;;
2022-05-31;34;4,360;252903;;;;
2022-06-01;34;5,915;283111;;;;
2022-06-02;34;4,988;258844;;;;
2022-06-03;35;4,809;260551;;;;
2022-06-04;37;5,304;300555;;;;
2022-06-05;36;6,070;284988;;;;
2022-06-06;37;6,375;293718;;;;
2022-06-07;36;5,038;261429;;;;
2022-06-08;34;2,586;149961;;;;
2022-06-09;37;3,797;215153;;;;
2022-06-10;38;4,849;232094;;;;
2022-06-11;37;6,092;286042;;;;
2022-06-12;36;5,183;268966;;;;
2022-06-13;36;5,898;282283;;;;
2022-06-14;36;6,005;276688;;;;
2022-06-15;33;5,461;245019;;;;
2022-06-16;35;5,575;266855;;;;
2022-06-17;36;6,451;302891;;;;
2022-06-18;37;6,486;298846;;;;
2022-06-19;37;4,537;235436;;;;
2022-06-20;38;6,069;352018;;;;
2022-06-21;37;6,488;310539;;;;
2022-06-22;35;4,160;241260;;;;
2022-06-23;35;5,228;296227;;;;
2022-06-24;34;5,795;277353;;;;
2022-06-25;33;5,136;236622;;;;
2022-06-26;35;4,853;274995;;;;
2022-06-27;35;6,606;304348;;;;
2022-06-28;38;5,150;267272;;;;
2022-06-29;39;5,459;316627;;;;
2022-06-30;36;5,414;254202;;;;
2022-07-01;31;1,400;67008;;;;
2022-07-02;32;2,255;117030;;;;
2022-07-03;36;4,191;227062;;;;
2022-07-04;38;4,888;276978;;;;
2022-07-05;37;5,378;252503;;;;
2022-07-06;36;4,962;228608;;;;
2022-07-07;34;3,224;167321;;;;
2022-07-08;35;5,103;296001;;;;
2022-07-09;34;4,410;249878;;;;
2022-07-10;30;2,049;98093;;;;
2022-07-11;32;3,774;177207;;;;
2022-07-12;33;5,682;294858;;;;
2022-07-13;33;5,636;269778;;;;
2022-07-14;32;5,993;276143;;;;
2022-07-15;33;5,916;265387;;;;
2022-07-16;35;5,705;273044;;;;
2022-07-17;35;4,697;220512;;;;
2022-07-18;39;7,437;342674;;;;
2022-07-19;36;5,377;279012;;;;
2022-07-20;34;4,737;274763;;;;
2022-07-21;35;4,720;225933;;;;
2022-07-22;33;5,250;304483;;;;
2022-07-23;34;5,362;303836;;;;
2022-07-24;34;6,529;312515;;;;
2022-07-25;34;6,246;287766;;;;
2022-07-26;35;5,574;315884;;;;
2022-07-27;35;6,464;297840;;;;
2022-07-28;35;5,094;264377;;;;
2022-07-29;36;4,759;276044;;;;
2022-07-30;36;5,829;273679;;;;
2022-07-31;36;3,834;222369;;;;
2022-08-01;34;5,061;242259;;;;
2022-08-02;37;4,827;250488;;;;
2022-08-03;36;4,224;228846;;;;
2022-08-04;37;4,947;280350;;;;
2022-08-05;35;4,500;211287;;;;
2022-08-06;34;3,954;182167;;;;
2022-08-07;34;4,130;214330;;;;
2022-08-08;26;0,334;19363;;;;
2022-08-09;28;0,971;55029;;;;
2022-08-10;36;4,199;201001;;;;
2022-08-11;32;3,148;147806;;;;
2022-08-12;33;3,354;174077;;;;
2022-08-13;34;5,863;280623;;;;
2022-08-14;36;5,628;259286;;;;
2022-08-15;35;6,051;271475;;;;
2022-08-16;34;4,316;206599;;;;
2022-08-17;34;4,848;227623;;;;
2022-08-18;35;5,718;263448;;;;
2022-08-19;34;4,732;245574;;;;
2022-08-20;30;1,676;97200;;;;
2022-08-21;34;4,259;203860;;;;
2022-08-22;34;5,252;304601;;;;
2022-08-23;35;4,690;265788;;;;
2022-08-24;36;4,132;197785;;;;
2022-08-25;35;3,315;152752;;;;
2022-08-26;35;3,443;195130;;;;
2022-08-27;35;6,691;308278;;;;
2022-08-28;34;5,205;270089;;;;
2022-08-29;35;4,864;282110;;;;
2022-08-30;34;6,218;291963;;;;
2022-08-31;35;4,999;289971;;;;
2022-09-01;34;5,751;275278;;;;
2022-09-02;33;4,470;231995;;;;
2022-09-03;35;4,570;247572;;;;
2022-09-04;36;4,827;273530;;;;
2022-09-05;35;5,320;249809;;;;
2022-09-06;34;4,843;223131;;;;
2022-09-07;26;0,926;48038;;;;
2022-09-08;32;3,466;201015;;;;
2022-09-09;32;3,474;196832;;;;
2022-09-10;32;4,146;198457;;;;
2022-09-11;32;5,167;242620;;;;
2022-09-12;33;5,352;277762;;;;
2022-09-13;33;5,608;268426;;;;
2022-09-14;33;4,759;219274;;;;
2022-09-15;34;4,714;211502;;;;
2022-09-16;35;5,838;279440;;;;
2022-09-17;34;4,499;211223;;;;
2022-09-18;34;5,303;244318;;;;
2022-09-19;34;5,152;267365;;;;
2022-09-20;33;4,508;261492;;;;
2022-09-21;32;3,757;179835;;;;
2022-09-22;29;1,943;112702;;;;
2022-09-23;26;0,897;50847;;;;
2022-09-24;29;2,113;101137;;;;
2022-09-25;28;1,572;72420;;;;
2022-09-26;29;2,171;123033;;;;
2022-09-27;27;0,871;40146;;;;
2022-09-28;30;1,030;53461;;;;
2022-09-29;31;2,532;146864;;;;
2022-09-30;32;4,585;215291;;;;
2022-10-01;31;4,382;209761;;;;
2022-10-02;31;4,024;208830;;;;
2022-10-03;31;4,326;234367;;;;
2022-10-04;30;3,605;204262;;;;
2022-10-05;31;5,014;235419;;;;
2022-10-06;28;1,938;89308;;;;
2022-10-07;31;4,772;247661;;;;
2022-10-08;31;3,866;224205;;;;
2022-10-09;26;0,843;47755;;;;
2022-10-10;26;0,949;45409;;;;
2022-10-11;25;1,071;50276;;;;
2022-10-12;24;0,608;31555;;;;
2022-10-13;27;1,505;72020;;;;
2022-10-14;25;0,210;9696;;;;
2022-10-15;29;0,661;29636;;;;
2022-10-16;27;3,123;149468;;;;
2022-10-17;29;3,849;180740;;;;
2022-10-18;29;3,710;170939;;;;
2022-10-19;22;0,924;47952;;;;
2022-10-20;24;1,349;78255;;;;
2022-10-21;25;2,013;96357;;;;
2022-10-22;24;0,511;29643;;;;
2022-10-23;29;2,367;134148;;;;
2022-10-24;29;3,046;145788;;;;
2022-10-25;25;0,518;23881;;;;
2022-10-26;29;3,125;177100;;;;
2022-10-27;29;2,958;136277;;;;
2022-10-28;29;3,555;184468;;;;
2022-10-29;28;1,752;101626;;;;
2022-10-30;27;2,201;103347;;;;
2022-10-31;28;3,384;196299;;;;
2022-11-01;27;2,814;134685;;;;
2022-11-02;29;4,714;244634;;;;
2022-11-03;28;4,866;263636;;;;
2022-11-04;29;3,625;205414;;;;
2022-11-05;27;2,583;121259;;;;
2022-11-06;28;3,138;144560;;;;
2022-11-07;28;3,848;199668;;;;
2022-11-08;27;2,828;163997;;;;
2022-11-09;28;2,389;135401;;;;
2022-11-10;28;2,754;131810;;;;
2022-11-11;29;3,890;182659;;;;
2022-11-12;26;1,603;83193;;;;
2022-11-13;29;2,635;126129;;;;
2022-11-14;30;4,090;188440;;;;
2022-11-15;29;4,026;180624;;;;
2022-11-16;31;3,590;171855;;;;
2022-11-17;29;2,846;133610;;;;
2022-11-18;31;4,518;208150;;;;
2022-11-19;30;2,769;143681;;;;
2022-11-20;29;2,287;132657;;;;
2022-11-21;26;0,978;46789;;;;
2022-11-22;30;2,919;169308;;;;
2022-11-23;29;2,300;130343;;;;
2022-11-24;31;4,092;195851;;;;
2022-11-25;31;4,905;225995;;;;
2022-11-26;31;2,405;136283;;;;
2022-11-27;32;3,554;163769;;;;
2022-11-28;33;4,238;219954;;;;
2022-11-29;33;3,946;228867;;;;
2022-11-30;31;6,215;291805;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
